Date,Open,High,Low,Close,Adj Close,Volume
12/19/23,0.168051,0.208053,0.136873,0.146876,0.146876,122808844
12/20/23,0.145942,0.21089,0.105023,0.186058,0.186058,111016061
12/21/23,0.185669,0.293065,0.18407,0.280936,0.280936,113313578
12/22/23,0.282465,0.331251,0.217143,0.226059,0.226059,68356381
12/23/23,0.2273,0.24701,0.132518,0.234329,0.234329,150550688
12/24/23,0.232159,0.236531,0.140908,0.14405,0.14405,68659967
12/25/23,0.143659,0.260422,0.123958,0.196551,0.196551,56785756
12/26/23,0.196964,0.205706,0.124569,0.175065,0.175065,41112351
12/27/23,0.172379,0.19317,0.1306,0.180283,0.180283,32294018
12/28/23,0.180061,0.190308,0.135345,0.18373,0.18373,46207708
12/29/23,0.183542,0.222151,0.165378,0.179103,0.179103,51524976
12/30/23,0.179129,0.199103,0.148266,0.167263,0.167263,35621871
12/31/23,0.167369,0.190441,0.148864,0.152965,0.152965,11940111
1/1/24,0.152783,0.171293,0.148457,0.171293,0.171293,9675548
1/2/24,0.171916,0.178879,0.133282,0.14294,0.14294,30384115
1/3/24,0.143544,0.149091,0.085225,0.088007,0.088007,47246129
1/4/24,0.087952,0.143778,0.087617,0.134861,0.134861,36016959
1/5/24,0.134983,0.134983,0.098377,0.115608,0.115608,20861199
1/6/24,0.115576,0.116101,0.085321,0.093963,0.093963,21581621
1/7/24,0.093904,0.102322,0.087556,0.089642,0.089642,10889276
1/8/24,0.089663,0.138938,0.067702,0.130974,0.130974,37181669
1/9/24,0.130758,0.155243,0.099894,0.129703,0.129703,36341849
1/10/24,0.129984,0.22797,0.109788,0.17372,0.17372,100408333
1/11/24,0.172735,0.316023,0.162427,0.277439,0.277439,133464389
1/12/24,0.277402,0.28186,0.190103,0.212868,0.212868,80592524
1/13/24,0.213136,0.289624,0.184303,0.27569,0.27569,58315101
1/14/24,0.275409,0.3743,0.25118,0.317373,0.317373,106823666
1/15/24,0.318878,0.384591,0.263677,0.296456,0.296456,108257159
1/16/24,0.2967,0.324531,0.262229,0.292482,0.292482,78286270
1/17/24,0.292255,0.448557,0.290444,0.430698,0.430698,109398849
1/18/24,0.430849,0.481359,0.354806,0.363162,0.363162,157512862
1/19/24,0.361979,0.41348,0.320529,0.399251,0.399251,88145140
1/20/24,0.399407,0.403062,0.329859,0.335014,0.335014,43294653
1/21/24,0.335178,0.344285,0.298481,0.298481,0.298481,44241329
1/22/24,0.298661,0.306387,0.228765,0.231464,0.231464,93719096
1/23/24,0.231544,0.281657,0.208517,0.281657,0.281657,94751711
1/24/24,0.281461,0.353001,0.276649,0.350584,0.350584,122723483
1/25/24,0.350544,0.406894,0.328103,0.382512,0.382512,78882031
1/26/24,0.383567,0.385485,0.345097,0.351002,0.351002,67052156
1/27/24,0.350862,0.364319,0.301764,0.344646,0.344646,58155387
1/28/24,0.344895,0.371626,0.316794,0.33076,0.33076,52114460
1/29/24,0.33041,0.330816,0.294197,0.313642,0.313642,60553286
1/30/24,0.313568,0.342306,0.281006,0.282048,0.282048,62373638
1/31/24,0.282314,0.284362,0.243759,0.251278,0.251278,62939276
2/1/24,0.251084,0.252164,0.214032,0.227706,0.227706,79428656
2/2/24,0.227417,0.273043,0.205863,0.260449,0.260449,69678293
2/3/24,0.260847,0.277471,0.236609,0.242795,0.242795,57944397
2/4/24,0.242831,0.242831,0.21129,0.212275,0.212275,35309873
2/5/24,0.211987,0.224189,0.203987,0.212575,0.212575,37135675
2/6/24,0.21265,0.213448,0.189738,0.190114,0.190114,27773843
2/7/24,0.190178,0.238882,0.171778,0.21587,0.21587,60730494
2/8/24,0.215953,0.242077,0.210888,0.219426,0.219426,45729690
2/9/24,0.219465,0.263485,0.215004,0.249959,0.249959,42386176
2/10/24,0.250193,0.337778,0.250193,0.316881,0.316881,56427892
2/11/24,0.317202,0.340363,0.296083,0.296083,0.296083,32778139
2/12/24,0.296126,0.376113,0.281769,0.370324,0.370324,58852191
2/13/24,0.370077,0.40263,0.365651,0.370327,0.370327,54872791
2/14/24,0.370396,0.472889,0.362184,0.438901,0.438901,60619959
2/15/24,0.438622,0.470509,0.401692,0.40585,0.40585,51073413
2/16/24,0.405949,0.419562,0.353712,0.373939,0.373939,47951698
2/17/24,0.373758,0.386215,0.344509,0.38474,0.38474,36714300
2/18/24,0.38516,0.444385,0.369527,0.409355,0.409355,45955156
2/19/24,0.409331,0.412548,0.375452,0.379156,0.379156,34506694
2/20/24,0.379156,0.402931,0.327901,0.399525,0.399525,52628883
2/21/24,0.399476,0.399476,0.316439,0.351666,0.351666,52060157
2/22/24,0.351663,0.351663,0.302088,0.305183,0.305183,42754891
2/23/24,0.305744,0.315425,0.283066,0.297187,0.297187,43845829
2/24/24,0.297182,0.341776,0.287041,0.34109,0.34109,37850664
2/25/24,0.341146,0.361478,0.313515,0.349052,0.349052,32406542
2/26/24,0.348786,0.488703,0.346499,0.466492,0.466492,74318533
2/27/24,0.466562,0.672385,0.466562,0.60575,0.60575,153913247
2/28/24,0.606326,0.89017,0.595872,0.870841,0.870841,247553037
2/29/24,0.871938,0.887935,0.712861,0.868369,0.868369,187809850
3/1/24,0.856204,1.312281,0.82788,1.240658,1.240658,382518500
