Close,30day,60day,90day
163.35,0.0881949605024163,0.1638605626254281,0.257606072577955
3.4e-05,0.0404983528962825,0.1644907712592571,0.2742249963380567
1.6e-05,-0.001346793739881,0.1891194013188595,0.3623421201879708
2.4e-05,-0.0686086613290045,-0.0363587542059228,0.008778721651252
0.528211,-0.0769861745690175,0.0048119051626263,0.1082899325016841
0.458375,-0.1121470456544683,-0.1372368001965043,0.3095593649118584
68518.09,-0.1308773304110752,-0.0923730776076283,-0.064322097545053
3825.9,-0.1587311050943378,-0.1086235276891229,-0.0497204609259727
0.16622,-0.2464508206228071,-0.2672594140226098,-0.1118712203681404
599.83,-0.247182489454256,-0.2220209624872958,-0.1605840194362561
