Symbol,Close,30day,60day,90day
PEPE,1.1e-05,0.1582878508227414,0.3588080840567327,0.5679340653935208
BONK,3e-05,0.1020746842313378,0.2190233243168271,0.3397290029868296
SOL,186.52,0.0098286107003828,0.0821127767759557,0.1462501619733249
XRP,0.537333,-0.0546923965426868,-0.0335692948388703,0.1001921895760495
ADA,0.501758,-0.1067177436283848,-0.1576259474674596,0.1567175596843317
ETH,3663.86,-0.1449342244099595,-0.1165065602698725,-0.0419824623846718
BTC,71448.2,-0.1539320465476558,-0.1272624448211239,-0.0866817646265603
SHIB,2.6e-05,-0.1576824401933811,-0.0986280183928853,-0.0281636147596251
DOGE,0.165688,-0.2460807515605899,-0.2927671550322492,-0.1375458575034981
BNB,600.62,-0.2554971319592212,-0.2489042862524321,-0.1851744615281927
