Close,30day,60day,90day
1.3e-05,0.0739087278065069,0.2716009613912833,0.4574953055448276
3.2e-05,0.0585779753933386,0.1865952784914519,0.2929652191994711
176.86,0.0373913855675098,0.1092611101951031,0.1756078893864843
0.52651,-0.0426096741945039,0.0084159311097258,0.1315007279380213
0.483127,-0.098339218384479,-0.1542491694911687,0.1979011492794085
2.5e-05,-0.1185571577409568,-0.0613422694321053,0.0071026412744441
69122.34,-0.1364968662283018,-0.1047093406752348,-0.074047921519149
3737.22,-0.1515606322767609,-0.1174114725183935,-0.0483173618532363
0.166163,-0.2391632526451365,-0.2959875274963958,-0.1397680616711383
614.67,-0.2618447398314756,-0.2503989167727295,-0.1879079524982803
