Close,30day,60day,90day,Mean
0.003996,0.3833169257630597,0.7327120806964276,1.0578637020036967,0.7246309028210614
9.182708,0.3838840401619738,0.639258644346381,0.8933102061255842,0.638817630211313
1.1e-05,0.3265363136679078,0.5315185187731175,0.7496250735965395,0.5358933020125216
0.000182,0.324606429707476,0.4198357263225893,0.5423203532221401,0.4289208364174018
2.3e-05,0.2909575961328812,0.4019507007862555,0.5256763709425722,0.4061948892872363
1.622204,0.2821079587914901,0.3232270033002116,0.3458730800397396,0.3170693473771471
7.717784,0.2314295968384896,0.3244714082009927,0.3792146356252013,0.3117052135548945
1.753883,0.2610646407473562,0.3327797389432485,0.3397805941894782,0.31120832462669434
143.334274,0.1860839205823756,0.2828835010181347,0.4511087503455238,0.3066920573153447
1.9e-05,0.2209466757958624,0.3633386000258001,0.3162259750707357,0.30017041696413277
0.090024,-0.0418872525185011,0.4993449353892825,0.4128900232078365,0.29011590202620596
0.096912,0.1475964298102603,0.3642416741442396,0.305723240313275,0.2725204480892583
7.696274,0.0807101662225728,0.252440365014978,0.4775059673197865,0.27021883285244575
0.094426,0.2437266262621065,0.3279233408520976,0.2015488958740652,0.2577329543294231
14.534426,0.0871715778361894,0.3433985692297499,0.3155390628275882,0.24870306996450917
28.480154,0.0846372401099102,0.2488500409858127,0.3990951219150138,0.2441941343369122
5.171621,-0.0354145436541414,0.2155522289697922,0.5354216859714791,0.23851979042904328
7.448721,0.206330708605579,0.2325911974908792,0.2501785810238262,0.22970016237342814
0.401758,-0.0003831697432392,0.3288003692207957,0.3573541065639667,0.22859043534717438
0.50516,0.0582653585080825,0.1908976724056534,0.1779765960261989,0.14237987564664492
2.309939,0.1405264887357484,0.114886283228575,0.1348781204578832,0.13009696414073554
0.152733,0.0315219007935623,0.0915761649155868,0.1449284371828192,0.0893421676306561
0.116805,0.0475482333452026,0.0825619775944879,0.1352737362715403,0.08846131573707694
0.128889,-0.0944107059854753,0.1016079381575036,0.0492511467268192,0.018816126299615835
3511.378906,-0.0498014672591055,0.0286433287229341,0.0227084792958565,0.0005167802532283656
0.58425,-0.0314146922700364,0.0647152490234674,-0.1032447323341699,-0.023314725193579633
76.626091,-0.0465702322628029,-0.0361926089179941,-0.079007141118427,-0.05392332743307466
66490.296875,-0.0923071986050882,-0.0495759765392287,-0.0505882640969412,-0.0641571464137527
1.936862,0.0191597338235827,-0.0560829184057858,-0.1953442409516809,-0.07742247517796134
174.186127,-0.140269371751015,-0.0522829991324472,-0.0880596793430031,-0.09353735007548843
604.467346,-0.1592511850434138,-0.0934795721960289,-0.1119896032325005,-0.12157345349064774
0.025943,-0.152893706409558,-0.2809057792357496,-0.4106893424587998,-0.28149627603470245
