Symbol,Close,30day,60day,90day
PEPE,9e-06,0.2624392946364957,0.5021363439323125,0.7194801325601103
BONK,2.5e-05,0.1814938691875813,0.3260584314576571,0.4597771492065505
SOL,170.09,0.0432304309196096,0.1135972772890234,0.1722336472016306
XRP,0.509661,-0.0220277089873796,0.0102054929149575,0.136215111342004
ETH,3094.12,-0.0621597462451354,-0.0464669057636358,0.042365580623354
ADA,0.467602,-0.067311849510926,-0.1326780565938538,0.1585590156026752
BTC,66278.37,-0.1236714177900649,-0.0976938430330108,-0.0575985088113196
SHIB,2.4e-05,-0.1251128398873212,-0.0720639397933333,-0.0032419219126917
DOGE,0.149107,-0.203771791616557,-0.2624679383301467,-0.1055859408273944
BNB,574.63,-0.2353693897058699,-0.2330050576488365,-0.1708780871789811
