ADA,0.43657100200653076,-0.0811097329796574,-0.003266281429212259,0.35895232741001437
ATOM,7.759523868560791,-0.23521366661653664,-0.20324722663731398,0.09359997970533973
AVAX,32.29003143310547,-0.06332448583066153,0.016427957817486183,0.1845837603079683
BNB,682.6651611328125,-0.2581570911420492,-0.2177172229152624,-0.19892483023868668
BONK,2.700000004551839e-05,0.1934202659546127,0.3309583876048994,0.44076055224969246
BTC,69305.7734375,-0.13558783950391717,-0.09256461018762374,-0.09303515114413063
CHZ,0.11731299757957458,-0.3031057379179245,-0.03875713603023734,0.17142031082823217
CRO,0.11084699630737305,0.13028416403541376,0.23815410473967158,0.1446802323058749
DOGE,0.14605900645256042,-0.1850796751541226,-0.08206494049556456,-0.035406826754471044
ETH,3680.949951171875,-0.11134919543126409,-0.03175767207100588,-0.021083501373022506
FLOKI,0.0002800000074785203,0.03742550489327856,0.12796039597135067,0.19053507257534763
FLR,0.027594000101089478,-0.11586051953467358,-0.23299839548383483,-0.3356705539844178
KAS,0.156482994556427,-0.05428716814085799,0.04427266461782775,0.05358099566084329
LINK,15.944519996643066,-0.0018394346381249704,0.19271401637366425,0.2340579519831687
LTC,79.99410247802734,-0.061348795657876765,-0.061434114315062405,-0.07252102218413115
MAGA,11.844285011291504,0.14014235535867248,0.32759880005592024,0.5198502511919025
MATIC,0.6498820185661316,-0.1650243268832995,-0.09599808634836815,-0.16419410135876433
NEAR,6.571623802185059,-0.2728723736638521,-0.07591454200632619,0.16937011965823223
OP,2.16914701461792,-0.03846016882546244,-0.040630019940853024,-0.16288486848298556
RNDR,9.144438743591309,0.12345726604057816,0.2109526016699197,0.26331080741195945
PEPE,1.2000000424450263e-05,0.27395699237670024,0.49568136935828977,0.7090348992419915
SHIB,2.300000051036477e-05,0.11655874096594099,0.20815610230795545,0.17870478432842019
SOL,157.96890258789062,0.11886901142689732,0.19661671333342445,0.3533959365081045
STX,2.2430219650268555,0.10410203556297071,0.1839270620912261,0.21165205388079444
TON,7.032557010650635,0.06121394156016646,0.1930382038074514,0.43929220207970987
TRON,0.11475600302219391,0.040122341857623756,0.06982100288198811,0.12332826384032969
TURBO,0.0051369997672736645,0.09884828501263287,0.34920925661283886,0.6118685218147588
WIF,2.710416078567505,0.054655092393071314,0.0672650358214335,0.047772228735893485
XLM,0.09827399998903275,-0.10940244252815956,0.19517846004517314,0.2092793801175492
XRP,0.4931449890136719,-0.00016654627528234212,0.11978356210017216,0.12415908920115415
