Symbol,Close,30day,60day,90day
BONK,2.4e-05,0.3137258586156135,0.4567715343275882,0.614348951672367
PEPE,1e-05,0.1707783019862023,0.3790400111932972,0.5944300228200947
XRP,0.523804,0.0849069432949223,0.0851678988005455,0.2337009118217059
SOL,169.53,0.0276009232508349,0.0944319498628853,0.1485699979538191
ADA,0.482,0.0128092424948336,-0.063731869763646,0.1901254374681775
ETH,3094.12,-0.0559960318265186,-0.0410007798998445,0.0471957009116423
SHIB,2.5e-05,-0.1953791449417865,-0.1360962023967153,-0.0867063811991102
BTC,67051.88,-0.233238918020302,-0.2123030752490796,-0.1758773320420403
DOGE,0.155563,-0.2608297296082476,-0.3272199552706839,-0.1829662676745599
BNB,581.178345,-0.3439098545451723,-0.3449939622528712,-0.2965133918108892
