Close,30day,60day,90day,Mean
1.4e-05,0.1574159951648261,0.3587110930494139,0.5628070162954102,0.3596447015032167
3.2e-05,0.1114511700485092,0.2264587852540274,0.3440346174567665,0.22731485758643435
3.2677,0.1249233151875337,0.2115265045389958,0.3271161168958085,0.22118864554077933
6.8144,0.0457067822807513,0.168604650932379,0.4068929325663433,0.20706812192649118
164.92,0.0952422814909401,0.1707300794810315,0.3098155931524478,0.19192931804147315
13.82,-0.0263768792008706,0.1403522809022903,0.2967473883737375,0.13690759669171906
0.000269,0.0073591704144548,0.1026432495013631,0.1635821540874973,0.09119485800110506
0.113434,0.0499095070373878,0.0718994248362674,0.1204001311539664,0.08073635434254055
2.4e-05,0.0327063220697012,0.0823101235421031,0.0711392127035155,0.0620518861051066
0.457036,-0.1075596854013367,-0.0897553417594573,0.3707914405863532,0.05782547114185307
0.5201,-0.0682288153792484,0.0493886886993921,0.0988477330101966,0.026669202110113435
0.006343,-0.205876511294644,-0.0081079193312716,0.1626364418609684,-0.0171159962549824
35.04,-0.1352328428269844,-0.071499054106099,0.1011309485333535,-0.035200316133243294
3766.39,-0.1362385338135801,-0.0584022242591975,-0.0270997371473181,-0.07391349840669857
68804.78,-0.119813656273546,-0.0697765461511217,-0.0568245203606292,-0.08213824092843229
0.158282,-0.2267593347082122,-0.1723023490386976,-0.071908287306973,-0.15698999035129427
7.1187,-0.344178603612053,-0.2244391375124746,-0.0367512001817403,-0.20178964710208927
626.43,-0.2412256788236095,-0.2049083363839818,-0.1597487108748368,-0.2019609086941427
8.3366,-0.3272938598463111,-0.3368766225455378,-0.0703346889214611,-0.24483505710443665
